Time(ms),Raw_R,Raw_G,Raw_B,Range,V1_Norm,Peak_Diff,Calculated_BPM
1779201061228,138.64,66.00,144.06,0.00,0.000,0,0.0
1779201061258,138.43,65.11,144.09,0.00,0.000,0,0.0
1779201061311,138.23,64.41,144.09,0.00,0.000,0,0.0
1779201061332,138.16,64.07,144.10,0.00,0.000,0,0.0
1779201061359,139.20,64.85,144.51,0.00,0.000,0,0.0
1779201061396,139.21,64.88,144.52,0.00,0.000,0,0.0
1779201061433,139.13,64.78,144.45,0.00,0.000,0,0.0
1779201061462,139.11,64.64,144.47,0.00,0.000,0,0.0
1779201061495,139.19,64.64,144.54,0.00,0.000,0,0.0
1779201061538,139.19,64.61,144.56,0.00,0.000,0,0.0
1779201061563,139.50,64.82,144.67,0.00,0.000,0,0.0
1779201061595,139.59,64.83,144.70,0.00,0.000,0,0.0
1779201061628,139.65,64.87,144.73,0.00,0.000,0,0.0
1779201061674,139.66,64.97,144.71,0.00,0.000,0,0.0
1779201061701,139.70,65.17,144.71,0.00,0.000,0,0.0
1779201061725,139.71,65.31,144.69,0.00,0.000,0,0.0
1779201061762,139.74,65.54,144.67,0.00,0.000,0,0.0
1779201061799,139.83,65.78,144.68,0.00,0.000,0,0.0
1779201061834,139.88,65.96,144.69,0.00,0.000,0,0.0
1779201061862,139.94,66.13,144.70,0.00,0.000,0,0.0
1779201061897,139.94,66.30,144.68,0.00,0.000,0,0.0
1779201061938,139.97,66.45,144.66,0.00,0.000,0,0.0
1779201061960,139.95,66.51,144.66,0.00,0.000,0,0.0
1779201061991,139.98,66.68,144.64,0.00,0.000,0,0.0
1779201062028,140.01,66.85,144.62,0.00,0.000,0,0.0
1779201062066,139.99,66.89,144.60,0.00,0.000,0,0.0
1779201062094,139.95,66.47,144.68,0.00,0.000,0,0.0
1779201062128,139.72,65.66,144.69,0.00,0.000,0,0.0
1779201062161,139.62,65.06,144.72,0.00,0.000,0,0.0
1779201062198,139.55,64.78,144.70,0.00,0.000,0,0.0
1779201062225,139.58,64.72,144.73,0.00,0.000,0,0.0
1779201062275,139.58,64.66,144.71,0.00,0.000,0,0.0
1779201062300,139.58,64.53,144.74,0.00,0.000,0,0.0
1779201062381,139.51,64.47,144.71,0.00,0.000,0,0.0
1779201062406,139.45,64.34,144.70,0.00,0.000,0,0.0
1779201062478,139.42,64.19,144.71,0.00,0.000,0,0.0
1779201062503,139.41,64.20,144.69,0.00,0.000,0,0.0
1779201062529,139.44,64.29,144.68,0.00,0.000,0,0.0
1779201062563,139.55,64.52,144.70,0.00,0.000,0,0.0
1779201062614,139.64,64.73,144.71,0.00,0.000,0,0.0
1779201062631,139.66,64.95,144.68,0.00,0.000,0,0.0
1779201062660,139.74,65.13,144.72,0.00,0.000,0,0.0
1779201062697,139.71,65.28,144.68,0.00,0.000,0,0.0
1779201062726,139.74,65.38,144.69,0.00,0.000,0,0.0
1779201062768,139.78,65.51,144.69,0.00,0.000,0,0.0
1779201062799,139.82,65.65,144.69,0.00,0.000,0,0.0
1779201062825,139.86,65.81,144.69,0.00,0.000,0,0.0
1779201062867,139.90,65.93,144.69,0.00,0.000,0,0.0
1779201062900,139.78,65.71,144.67,0.00,0.000,0,0.0
1779201062934,139.60,64.93,144.68,0.00,0.000,0,0.0
1779201062964,139.44,64.20,144.71,0.00,0.000,0,0.0
1779201062999,139.39,63.85,144.74,0.00,0.000,0,0.0
1779201063031,139.37,63.75,144.73,0.00,0.000,0,0.0
1779201063058,139.36,63.72,144.73,0.00,0.000,0,0.0
1779201063094,139.35,63.65,144.73,0.00,0.000,0,0.0
1779201063129,139.38,63.62,144.76,0.00,0.000,0,0.0
1779201063157,139.38,63.65,144.75,0.00,0.000,0,0.0
1779201063197,139.35,63.65,144.75,0.00,0.000,0,0.0
1779201063235,139.29,63.60,144.71,0.00,0.000,0,0.0
1779201063282,139.28,63.51,144.73,0.00,0.000,0,0.0
1779201063298,139.25,63.53,144.70,0.00,0.000,0,0.0
1779201063336,139.27,63.62,144.69,0.00,0.000,0,0.0
1779201063358,139.29,63.78,144.66,0.00,0.000,0,0.0
1779201063396,139.33,63.97,144.63,0.00,0.000,0,0.0
1779201063432,139.44,64.15,144.69,0.00,0.000,0,0.0
1779201063465,139.45,64.33,144.67,0.00,0.000,0,0.0
1779201063495,139.45,64.42,144.66,0.00,0.000,0,0.0
1779201063531,139.46,64.50,144.65,0.00,0.000,0,0.0
1779201063565,139.43,64.58,144.63,0.00,0.000,0,0.0
1779201063603,139.46,64.68,144.62,0.00,0.000,0,0.0
1779201063632,139.49,64.79,144.61,0.00,0.000,0,0.0
1779201063669,139.55,65.01,144.62,0.00,0.000,0,0.0
1779201063698,139.65,65.20,144.65,0.00,0.000,0,0.0
1779201063737,139.60,65.12,144.65,0.00,0.000,0,0.0
1779201063766,139.43,64.48,144.67,0.00,0.000,0,0.0
1779201063797,139.26,63.65,144.73,0.00,0.000,0,0.0
1779201063829,139.16,63.14,144.76,0.00,0.000,0,0.0
1779201063865,139.09,62.95,144.74,0.00,0.000,0,0.0
1779201063898,139.08,62.87,144.75,0.00,0.000,0,0.0
1779201063938,139.01,62.76,144.73,0.00,0.000,0,0.0
