Time(ms),Raw_R,Raw_G,Raw_B,StdDev,V1_Norm,Peak_Diff,Calculated_BPM
1779237957229,122.29,31.46,128.79,0.47,0.003,0,0.0
1779237957272,122.29,31.10,128.80,0.47,0.004,0,0.0
1779237957291,122.34,31.13,128.80,0.47,0.004,0,0.0
1779237957333,122.38,32.08,128.82,0.47,0.005,0,0.0
1779237957356,122.41,32.14,128.82,0.46,0.006,0,0.0
1779237957388,122.45,32.18,128.84,0.46,0.006,0,0.0
1779237957420,122.40,31.72,128.82,0.46,0.006,0,0.0
1779237957466,122.47,31.76,128.81,0.46,0.007,0,0.0
1779237957494,122.55,31.88,128.82,0.46,0.007,0,0.0
1779237957518,122.63,31.99,128.83,0.46,0.007,0,0.0
1779237957553,122.70,32.13,128.83,0.46,0.007,0,0.0
1779237957583,122.79,32.28,128.84,0.46,0.007,0,0.0
1779237957622,122.88,32.42,128.85,0.46,0.008,0,0.0
1779237957652,122.93,32.56,128.86,0.47,0.008,0,0.0
1779237957686,122.92,32.64,128.85,0.47,0.008,0,0.0
1779237957727,122.99,32.71,128.87,0.48,0.008,0,0.0
1779237957749,122.84,32.81,128.89,0.48,0.008,0,0.0
1779237957786,122.78,32.88,128.89,0.47,0.008,0,0.0
1779237957820,122.92,32.97,128.88,0.47,0.007,0,0.0
1779237957850,122.99,33.04,128.89,0.47,0.007,0,0.0
1779237957884,122.73,32.64,128.95,0.46,0.007,0,0.0
1779237957929,122.70,32.58,128.95,0.45,0.006,0,0.0
1779237957957,122.52,32.32,128.93,0.43,0.006,0,0.0
1779237958029,121.72,31.20,128.83,0.43,0.002,0,0.0
1779237958053,121.60,31.09,128.81,0.43,0.002,0,0.0
1779237958090,121.60,31.07,128.80,0.46,0.001,0,0.0
1779237958124,122.61,31.48,128.78,0.45,0.004,0,0.0
1779237958155,122.57,31.16,128.80,0.44,0.005,0,0.0
1779237958193,122.57,31.18,128.80,0.41,0.006,0,0.0
1779237958219,122.57,31.17,128.80,0.37,0.006,0,0.0
1779237958252,122.57,31.17,128.80,0.37,0.007,0,0.0
1779237958290,122.57,31.17,128.80,0.36,0.007,0,0.0
1779237958321,122.70,32.15,128.83,0.36,0.007,0,0.0
1779237958354,122.73,32.19,128.85,0.36,0.007,0,0.0
1779237958384,122.74,32.21,128.85,0.36,0.007,0,0.0
1779237958416,122.77,32.28,128.85,0.36,0.008,0,0.0
1779237958450,122.86,32.40,128.87,0.36,0.008,0,0.0
1779237958484,122.94,32.53,128.86,0.37,0.008,0,0.0
1779237958520,122.91,32.14,128.84,0.37,0.008,0,0.0
1779237958563,122.96,32.28,128.85,0.37,0.008,0,0.0
1779237958590,123.10,32.43,128.86,0.38,0.008,0,0.0
1779237958620,123.17,32.51,128.86,0.39,0.008,0,0.0
1779237958654,122.37,31.92,128.84,0.39,0.008,0,0.0
1779237958685,122.40,31.91,128.86,0.39,0.006,0,0.0
